==20840== NVPROF is profiling process 20840, command: ./main
==20840== Profiling application: ./main
==20840== Profiling result:
Time(%)      Time     Calls       Avg       Min       Max  Name
 34.24%  8.09898s     20000  404.95us  403.45us  449.88us  kernel_synapses_summed_variable_V_var_post_codeobject(int, double*, int*, int, double*, int, int*, int, double*, int, char*)
 31.25%  7.39288s     20000  369.64us  368.95us  411.73us  kernel_neurongroup_thresholder_codeobject(unsigned int, int*, double, double*, double*, char*)
 21.78%  5.15216s     20000  257.61us  256.19us  330.20us  kernel_synapses_summed_variable_V_mean_post_codeobject(int, double*, int*, int, int, int*, int, double*, int, char*)
  5.60%  1.32469s     41851  31.652us  30.719us  48.447us  void thrust::system::cuda::detail::detail::launch_closure_by_value<thrust::system::cuda::detail::for_each_n_detail::for_each_n_closure<thrust::device_ptr<double>, unsigned int, thrust::detail::device_generate_functor<thrust::detail::fill_functor<double>>, thrust::system::cuda::detail::detail::blocked_thread_array>>(double)
  3.88%  917.21ms     20000  45.860us  44.671us  51.998us  kernel_neurongroup_stateupdater_codeobject(unsigned int, double, double*, double, double*, char*)
  0.49%  114.84ms     20000  5.7410us  4.0640us  8.7040us  _run_ratemonitor_codeobject_kernel(unsigned int, double, double, int, int*, double*, double*)
  0.46%  109.33ms     20001  5.4650us  4.8960us  6.8480us  void gen_sequenced<curandStateXORWOW, float2, normal_args_st, __operator_&__(float2 curand_normal_scaled2<curandStateXORWOW>(curandStateXORWOW*, normal_args_st))>(curandStateXORWOW*, float2*, unsigned long, unsigned long, normal_args_st)
  0.37%  87.563ms     20000  4.3780us  4.0960us  5.2470us  kernel_neurongroup_custom_operation_codeobject(unsigned int, double*, char*)
  0.32%  76.751ms     20000  3.8370us  3.3920us  7.6160us  _run_spikemonitor_codeobject_kernel(unsigned int, unsigned int, unsigned int, int, int*, int*)
  0.26%  62.360ms     20000  3.1170us  2.9760us  3.6470us  kernel_neurongroup_resetter_codeobject(unsigned int, char*, int*, double*)
  0.25%  58.692ms      1843  31.845us  31.263us  38.431us  void thrust::system::cuda::detail::detail::launch_closure_by_value<thrust::system::cuda::detail::for_each_n_detail::for_each_n_closure<thrust::device_ptr<int>, unsigned int, thrust::detail::device_generate_functor<thrust::detail::fill_functor<int>>, thrust::system::cuda::detail::detail::blocked_thread_array>>(int)
  0.24%  57.468ms     20000  2.8730us  2.7830us  3.5200us  _run_statemonitor_1_codeobject_kernel(int, int*, double**, double*, double**, double*, int)
  0.23%  55.467ms     20000  2.7730us  2.5590us  5.0240us  _GLOBAL__N__58_tmpxft_00005098_00000000_6_spikemonitor_codeobject_cpp1_ii_9a2d4ca2::get_num_spikes_subgroup(unsigned int, unsigned int, int*)
  0.22%  51.452ms     20000  2.5720us  2.4950us  3.4880us  _run_statemonitor_codeobject_kernel(int, int*, double**, double*, int)
  0.17%  40.865ms     20030  2.0400us  1.9200us  49.983us  [CUDA memcpy DtoH]
  0.16%  38.912ms     20000  1.9450us  1.8870us  2.3360us  kernel_neurongroup_1_stateupdater_codeobject(unsigned int, int)
  0.07%  16.862ms         2  8.4309ms  8.4242ms  8.4376ms  generate_seed_pseudo(__int64, __int64, __int64, curandOrdering, curandStateXORWOW*, unsigned int*)
